LocationAbbr,Percetage,WeightedAverage
AK,0.2692307692307692,28.837633355347947
AL,0.2222222222222222,35.76747731780889
AR,0.25,35.720684681082005
AZ,0.1891891891891892,30.322301151720588
CA,0.1875,25.934458619050414
CO,0.2727272727272727,23.252676183291367
CT,0.1935483870967742,27.929915650335136
DE,0.1,32.81333472715869
FL,0.15,31.43006568832984
GA,0.08823529411764706,32.39436837140162
HI,0.2467948717948718,25.760678346142935
IA,0.15625,35.0612248343189
ID,0.1428571428571428,29.479491294885747
IL,0.256544502617801,31.381171548117155
IN,0.131578947368421,36.03938350008987
KS,0.2105263157894737,34.38459012634802
KY,0.2307692307692308,36.18568914723212
LA,0.2222222222222222,36.04828979911926
MA,0.2457912457912458,25.63617882886531
MD,0.1641791044776119,30.8296034287965
ME,0.2972972972972973,30.127685533037344
MI,0.1329113924050633,32.97281076499991
MN,0.1326530612244898,30.194045544026576
MO,0.3898305084745763,26.203803290338517
MS,0.3548387096774194,37.87849101454267
MT,0.0,27.274202711820074
NC,0.1486486486486487,31.82966339301098
ND,0.0,34.802803537716294
NE,0.06896551724137931,31.0762419728214
NH,0.1287128712871287,28.880423831813253
NJ,0.1547619047619048,28.738512371869483
NM,0.2352941176470588,30.821099507565986
NV,0.0,29.033710476113164
NY,0.226646248085758,27.773742106335302
OH,0.15625,33.432821899162796
OK,0.3333333333333333,34.735416609206496
OR,0.2,29.467006177236172
PA,0.152,30.760166561700192
RI,0.3695652173913043,26.553980858967687
SC,0.1666666666666667,34.33397132181052
SD,0.1428571428571428,29.545581660155026
TN,0.3076923076923077,34.36572810566637
TX,0.0,34.7002155814062
UT,0.2083333333333333,28.112257856921747
VA,0.1641791044776119,30.606315889484286
VT,0.1692307692307692,27.14394035689399
WA,0.1578947368421053,28.757343298314883
WI,0.1379310344827586,32.66304451852032
WV,0.5476190476190477,37.62382953299823
WY,0.6666666666666666,31.10254349918032
