date,health_score
2021-03-03T07:12:53-05:00,62
2021-02-26T13:52:49-05:00,66
2021-02-25T07:36:32-05:00,64
2021-02-09T21:59:51-05:00,65
2020-02-28T11:16:36-05:00,58
2020-02-26T07:19:31-05:00,58
2020-02-20T07:38:05-05:00,68
2020-02-04T21:00:06-05:00,65
2019-02-27T09:03:57-05:00,60
2019-02-22T14:03:09-05:00,44
2019-02-21T07:37:41-05:00,69
2019-02-07T21:44:15-05:00,66
2018-02-28T09:03:48-05:00,62
2018-02-23T15:14:27-05:00,57
2018-02-23T12:45:01-05:00,65
2018-02-20T07:40:21-05:00,69
2018-02-08T17:17:44-05:00,66
2017-03-02T09:03:50-05:00,60
2017-03-01T12:16:56-05:00,65
2017-02-28T07:35:48-05:00,69
2017-02-24T17:14:31-05:00,38
2017-02-06T19:05:02-05:00,65
2016-03-03T08:32:46-05:00,61
2016-02-26T16:27:26-05:00,53
2016-02-25T15:46:10-05:00,65
2016-02-25T07:36:28-05:00,68
2016-02-04T20:00:11-05:00,64
2015-02-27T14:20:43-05:00,58
2015-02-26T08:31:35-05:00,60
2015-02-24T14:40:58-05:00,64
2015-02-24T07:42:32-05:00,68
2015-02-04T16:40:22-05:00,67
2014-02-28T14:10:49-05:00,59
2014-02-27T07:37:46-05:00,61
2014-02-25T07:40:29-05:00,67
2014-02-24T13:26:44-05:00,66
2014-02-04T20:22:21-05:00,64
2013-02-28T07:34:27-05:00,65
2013-02-28T07:06:33-05:00,61
2013-02-25T11:19:42-05:00,66
2013-02-22T15:03:25-05:00,64
2013-02-08T17:19:53-05:00,64
2012-03-01T08:04:17-05:00,58
2012-02-28T07:33:16-05:00,65
2012-02-24T11:56:33-05:00,65
2012-02-24T11:55:52-05:00,65
2012-02-10T17:21:46-05:00,64
2011-03-03T07:03:10-05:00,57
2011-03-01T07:36:45-05:00,66
2011-02-25T14:35:09-05:00,64
2011-02-25T11:12:02-05:00,65
2011-02-17T15:19:20-05:00,64
